iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"((5, 1), ())",,,"[((5, 2), ())]","[((5, 1), ())]","[((5, 2), ())]",1,0,53,53
2,"((5, 2), ())","((5, 1), ())",North,"[((5, 1), ()), ((6, 2), ())]","[((5, 2), ())]","[((6, 2), ())]",2,1,54,55
3,"((6, 2), ())","((5, 2), ())",East,"[((7, 2), ()), ((5, 2), ())]","[((6, 2), ())]","[((7, 2), ())]",3,2,55,57
4,"((7, 2), ())","((6, 2), ())",East,"[((8, 2), ()), ((6, 2), ())]","[((7, 2), ())]","[((8, 2), ())]",4,3,56,59
5,"((8, 2), ())","((7, 2), ())",East,"[((9, 2), ()), ((7, 2), ())]","[((8, 2), ())]","[((9, 2), ())]",5,4,57,61
6,"((9, 2), ())","((8, 2), ())",East,"[((9, 3), ()), ((8, 2), ())]","[((9, 2), ())]","[((9, 3), ())]",6,5,58,63
7,"((9, 3), ())","((9, 2), ())",North,"[((9, 4), ()), ((9, 2), ())]","[((9, 3), ())]","[((9, 4), ())]",7,6,59,65
8,"((9, 4), ())","((9, 3), ())",North,"[((9, 3), ()), ((10, 4), ()), ((8, 4), ())]","[((9, 4), ())]","[((8, 4), ()), ((10, 4), ())]",8,7,60,67
9,"((8, 4), ())","((9, 4), ())",West,"[((9, 4), ()), ((7, 4), ())]","[((8, 4), ()), ((10, 4), ())]","[((7, 4), ()), ((10, 4), ())]",9,8,59,67
10,"((7, 4), ())","((8, 4), ())",West,"[((8, 4), ()), ((6, 4), ())]","[((7, 4), ()), ((10, 4), ())]","[((6, 4), ()), ((10, 4), ())]",10,9,58,67
11,"((6, 4), ())","((7, 4), ())",West,"[((7, 4), ()), ((5, 4), ())]","[((6, 4), ()), ((10, 4), ())]","[((5, 4), ()), ((10, 4), ())]",11,10,57,67
12,"((5, 4), ())","((6, 4), ())",West,"[((5, 5), ()), ((6, 4), ()), ((4, 4), ())]","[((5, 4), ()), ((10, 4), ())]","[((4, 4), ()), ((5, 5), ()), ((10, 4), ())]",12,11,56,67
13,"((4, 4), ())","((5, 4), ())",West,"[((5, 4), ()), ((3, 4), ())]","[((4, 4), ()), ((5, 5), ()), ((10, 4), ())]","[((3, 4), ()), ((5, 5), ()), ((10, 4), ())]",13,12,55,67
14,"((3, 4), ())","((4, 4), ())",West,"[((3, 5), ()), ((3, 3), ()), ((4, 4), ())]","[((3, 4), ()), ((5, 5), ()), ((10, 4), ())]","[((3, 3), ()), ((10, 4), ()), ((3, 5), ()), ((5, 5), ())]",14,13,54,67
15,"((3, 3), ())","((3, 4), ())",South,"[((3, 4), ()), ((3, 2), ())]","[((3, 3), ()), ((10, 4), ()), ((3, 5), ()), ((5, 5), ())]","[((3, 2), ()), ((10, 4), ()), ((3, 5), ()), ((5, 5), ())]",15,14,53,67
16,"((3, 2), ())","((3, 3), ())",South,"[((3, 3), ()), ((3, 1), ()), ((2, 2), ())]","[((3, 2), ()), ((10, 4), ()), ((3, 5), ()), ((5, 5), ())]","[((3, 1), ()), ((2, 2), ()), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]",16,15,52,67
17,"((3, 1), ())","((3, 2), ())",South,"[((3, 2), ()), ((2, 1), ())]","[((3, 1), ()), ((2, 2), ()), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]","[((2, 2), ()), ((2, 1), ()), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]",17,16,51,67
18,"((2, 2), ())","((3, 2), ())",West,"[((2, 1), ()), ((3, 2), ()), ((1, 2), ())]","[((2, 2), ()), ((2, 1), ()), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]","[((2, 1), ()), ((1, 2), ()), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]",18,16,51,67
19,"((2, 1), ())","((3, 1), ())",West,"[((2, 2), ()), ((3, 1), ()), ((1, 1), ((1, 1),))]","[((2, 1), ()), ((1, 2), ()), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]","[((1, 2), ()), ((1, 1), ((1, 1),)), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]",19,17,50,67
20,"((1, 2), ())","((2, 2), ())",West,"[((1, 3), ()), ((1, 1), ((1, 1),)), ((2, 2), ())]","[((1, 2), ()), ((1, 1), ((1, 1),)), ((3, 5), ()), ((5, 5), ()), ((10, 4), ())]","[((1, 1), ((1, 1),)), ((10, 4), ()), ((3, 5), ()), ((5, 5), ()), ((1, 3), ())]",20,17,50,67
21,"((1, 1), ((1, 1),))","((2, 1), ())",West,"[((1, 2), ((1, 1),)), ((2, 1), ((1, 1),))]","[((1, 1), ((1, 1),)), ((10, 4), ()), ((3, 5), ()), ((5, 5), ()), ((1, 3), ())]","[((1, 2), ((1, 1),)), ((10, 4), ()), ((3, 5), ()), ((1, 3), ()), ((5, 5), ()), ((2, 1), ((1, 1),))]",21,18,49,67
22,"((1, 2), ((1, 1),))","((1, 1), ((1, 1),))",North,"[((1, 3), ((1, 1),)), ((1, 1), ((1, 1),)), ((2, 2), ((1, 1),))]","[((1, 2), ((1, 1),)), ((10, 4), ()), ((3, 5), ()), ((1, 3), ()), ((5, 5), ()), ((2, 1), ((1, 1),))]","[((1, 3), ((1, 1),)), ((5, 5), ()), ((10, 4), ()), ((1, 3), ()), ((2, 1), ((1, 1),)), ((3, 5), ()), ((2, 2), ((1, 1),))]",22,19,48,67
23,"((1, 3), ((1, 1),))","((1, 2), ((1, 1),))",North,"[((1, 4), ((1, 1),)), ((1, 2), ((1, 1),))]","[((1, 3), ((1, 1),)), ((5, 5), ()), ((10, 4), ()), ((1, 3), ()), ((2, 1), ((1, 1),)), ((3, 5), ()), ((2, 2), ((1, 1),))]","[((1, 4), ((1, 1),)), ((5, 5), ()), ((10, 4), ()), ((1, 3), ()), ((2, 1), ((1, 1),)), ((2, 2), ((1, 1),)), ((3, 5), ())]",23,20,47,67
24,"((1, 4), ((1, 1),))","((1, 3), ((1, 1),))",North,"[((1, 3), ((1, 1),))]","[((1, 4), ((1, 1),)), ((5, 5), ()), ((10, 4), ()), ((1, 3), ()), ((2, 1), ((1, 1),)), ((2, 2), ((1, 1),)), ((3, 5), ())]","[((10, 4), ()), ((5, 5), ()), ((3, 5), ()), ((1, 3), ()), ((2, 1), ((1, 1),)), ((2, 2), ((1, 1),))]",24,21,46,67
25,"((10, 4), ())","((9, 4), ())",East,"[((11, 4), ()), ((9, 4), ())]","[((10, 4), ()), ((5, 5), ()), ((3, 5), ()), ((1, 3), ()), ((2, 1), ((1, 1),)), ((2, 2), ((1, 1),))]","[((5, 5), ()), ((1, 3), ()), ((3, 5), ()), ((2, 2), ((1, 1),)), ((2, 1), ((1, 1),)), ((11, 4), ())]",25,8,61,69
26,"((5, 5), ())","((5, 4), ())",North,"[((5, 6), ()), ((5, 4), ())]","[((5, 5), ()), ((1, 3), ()), ((3, 5), ()), ((2, 2), ((1, 1),)), ((2, 1), ((1, 1),)), ((11, 4), ())]","[((3, 5), ()), ((1, 3), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((2, 1), ((1, 1),)), ((5, 6), ())]",26,12,57,69
27,"((3, 5), ())","((3, 4), ())",North,"[((3, 6), ()), ((3, 4), ())]","[((3, 5), ()), ((1, 3), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((2, 1), ((1, 1),)), ((5, 6), ())]","[((1, 3), ()), ((2, 1), ((1, 1),)), ((11, 4), ()), ((2, 2), ((1, 1),)), ((5, 6), ()), ((3, 6), ())]",27,14,55,69
28,"((1, 3), ())","((1, 2), ())",North,"[((1, 4), ()), ((1, 2), ())]","[((1, 3), ()), ((2, 1), ((1, 1),)), ((11, 4), ()), ((2, 2), ((1, 1),)), ((5, 6), ()), ((3, 6), ())]","[((2, 1), ((1, 1),)), ((2, 2), ((1, 1),)), ((11, 4), ()), ((3, 6), ()), ((5, 6), ()), ((1, 4), ())]",28,18,51,69
29,"((2, 1), ((1, 1),))","((1, 1), ((1, 1),))",East,"[((2, 2), ((1, 1),)), ((3, 1), ((1, 1),)), ((1, 1), ((1, 1),))]","[((2, 1), ((1, 1),)), ((2, 2), ((1, 1),)), ((11, 4), ()), ((3, 6), ()), ((5, 6), ()), ((1, 4), ())]","[((2, 2), ((1, 1),)), ((5, 6), ()), ((11, 4), ()), ((3, 6), ()), ((1, 4), ()), ((3, 1), ((1, 1),))]",29,19,50,69
30,"((2, 2), ((1, 1),))","((1, 2), ((1, 1),))",East,"[((2, 1), ((1, 1),)), ((3, 2), ((1, 1),)), ((1, 2), ((1, 1),))]","[((2, 2), ((1, 1),)), ((5, 6), ()), ((11, 4), ()), ((3, 6), ()), ((1, 4), ()), ((3, 1), ((1, 1),))]","[((11, 4), ()), ((5, 6), ()), ((3, 1), ((1, 1),)), ((3, 6), ()), ((1, 4), ()), ((3, 2), ((1, 1),))]",30,20,49,69
31,"((11, 4), ())","((10, 4), ())",East,"[((11, 3), ()), ((12, 4), ()), ((10, 4), ())]","[((11, 4), ()), ((5, 6), ()), ((3, 1), ((1, 1),)), ((3, 6), ()), ((1, 4), ()), ((3, 2), ((1, 1),))]","[((5, 6), ()), ((3, 6), ()), ((3, 1), ((1, 1),)), ((3, 2), ((1, 1),)), ((1, 4), ()), ((11, 3), ()), ((12, 4), ())]",31,9,62,71
32,"((5, 6), ())","((5, 5), ())",North,"[((5, 7), ()), ((5, 5), ()), ((6, 6), ()), ((4, 6), ())]","[((5, 6), ()), ((3, 6), ()), ((3, 1), ((1, 1),)), ((3, 2), ((1, 1),)), ((1, 4), ()), ((11, 3), ()), ((12, 4), ())]","[((3, 6), ()), ((1, 4), ()), ((3, 1), ((1, 1),)), ((3, 2), ((1, 1),)), ((12, 4), ()), ((11, 3), ()), ((5, 7), ()), ((6, 6), ()), ((4, 6), ())]",32,13,58,71
33,"((3, 6), ())","((3, 5), ())",North,"[((3, 5), ()), ((4, 6), ()), ((2, 6), ())]","[((3, 6), ()), ((1, 4), ()), ((3, 1), ((1, 1),)), ((3, 2), ((1, 1),)), ((12, 4), ()), ((11, 3), ()), ((5, 7), ()), ((6, 6), ()), ((4, 6), ())]","[((1, 4), ()), ((3, 2), ((1, 1),)), ((3, 1), ((1, 1),)), ((4, 6), ()), ((12, 4), ()), ((11, 3), ()), ((5, 7), ()), ((6, 6), ()), ((2, 6), ())]",33,15,56,71
34,"((1, 4), ())","((1, 3), ())",North,"[((1, 3), ())]","[((1, 4), ()), ((3, 2), ((1, 1),)), ((3, 1), ((1, 1),)), ((4, 6), ()), ((12, 4), ()), ((11, 3), ()), ((5, 7), ()), ((6, 6), ()), ((2, 6), ())]","[((3, 1), ((1, 1),)), ((3, 2), ((1, 1),)), ((11, 3), ()), ((4, 6), ()), ((12, 4), ()), ((2, 6), ()), ((5, 7), ()), ((6, 6), ())]",34,19,52,71
35,"((3, 1), ((1, 1),))","((2, 1), ((1, 1),))",East,"[((3, 2), ((1, 1),)), ((2, 1), ((1, 1),))]","[((3, 1), ((1, 1),)), ((3, 2), ((1, 1),)), ((11, 3), ()), ((4, 6), ()), ((12, 4), ()), ((2, 6), ()), ((5, 7), ()), ((6, 6), ())]","[((3, 2), ((1, 1),)), ((4, 6), ()), ((11, 3), ()), ((6, 6), ()), ((12, 4), ()), ((2, 6), ()), ((5, 7), ())]",35,20,51,71
36,"((3, 2), ((1, 1),))","((2, 2), ((1, 1),))",East,"[((3, 3), ((1, 1),)), ((3, 1), ((1, 1),)), ((2, 2), ((1, 1),))]","[((3, 2), ((1, 1),)), ((4, 6), ()), ((11, 3), ()), ((6, 6), ()), ((12, 4), ()), ((2, 6), ()), ((5, 7), ())]","[((11, 3), ()), ((4, 6), ()), ((2, 6), ()), ((6, 6), ()), ((12, 4), ()), ((5, 7), ()), ((3, 3), ((1, 1),))]",36,21,50,71
37,"((11, 3), ())","((11, 4), ())",South,"[((11, 4), ()), ((11, 2), ())]","[((11, 3), ()), ((4, 6), ()), ((2, 6), ()), ((6, 6), ()), ((12, 4), ()), ((5, 7), ()), ((3, 3), ((1, 1),))]","[((4, 6), ()), ((3, 3), ((1, 1),)), ((2, 6), ()), ((6, 6), ()), ((12, 4), ()), ((5, 7), ()), ((11, 2), ())]",37,10,61,71
38,"((4, 6), ())","((5, 6), ())",West,"[((5, 6), ()), ((3, 6), ())]","[((4, 6), ()), ((3, 3), ((1, 1),)), ((2, 6), ()), ((6, 6), ()), ((12, 4), ()), ((5, 7), ()), ((11, 2), ())]","[((2, 6), ()), ((3, 3), ((1, 1),)), ((11, 2), ()), ((6, 6), ()), ((12, 4), ()), ((5, 7), ())]",38,14,57,71
39,"((2, 6), ())","((3, 6), ())",West,"[((3, 6), ()), ((1, 6), ())]","[((2, 6), ()), ((3, 3), ((1, 1),)), ((11, 2), ()), ((6, 6), ()), ((12, 4), ()), ((5, 7), ())]","[((3, 3), ((1, 1),)), ((5, 7), ()), ((11, 2), ()), ((6, 6), ()), ((12, 4), ()), ((1, 6), ())]",39,16,55,71
40,"((3, 3), ((1, 1),))","((3, 2), ((1, 1),))",North,"[((3, 4), ((1, 1),)), ((3, 2), ((1, 1),))]","[((3, 3), ((1, 1),)), ((5, 7), ()), ((11, 2), ()), ((6, 6), ()), ((12, 4), ()), ((1, 6), ())]","[((11, 2), ()), ((5, 7), ()), ((1, 6), ()), ((6, 6), ()), ((12, 4), ()), ((3, 4), ((1, 1),))]",40,22,49,71
41,"((11, 2), ())","((11, 3), ())",South,"[((11, 3), ()), ((11, 1), ()), ((12, 2), ())]","[((11, 2), ()), ((5, 7), ()), ((1, 6), ()), ((6, 6), ()), ((12, 4), ()), ((3, 4), ((1, 1),))]","[((1, 6), ()), ((5, 7), ()), ((3, 4), ((1, 1),)), ((6, 6), ()), ((12, 4), ()), ((11, 1), ()), ((12, 2), ())]",41,11,60,71
42,"((1, 6), ())","((2, 6), ())",West,"[((1, 7), ()), ((2, 6), ())]","[((1, 6), ()), ((5, 7), ()), ((3, 4), ((1, 1),)), ((6, 6), ()), ((12, 4), ()), ((11, 1), ()), ((12, 2), ())]","[((3, 4), ((1, 1),)), ((5, 7), ()), ((11, 1), ()), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((1, 7), ())]",42,17,54,71
43,"((3, 4), ((1, 1),))","((3, 3), ((1, 1),))",North,"[((3, 5), ((1, 1),)), ((3, 3), ((1, 1),)), ((4, 4), ((1, 1),))]","[((3, 4), ((1, 1),)), ((5, 7), ()), ((11, 1), ()), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((1, 7), ())]","[((11, 1), ()), ((5, 7), ()), ((3, 5), ((1, 1),)), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((1, 7), ()), ((4, 4), ((1, 1),))]",43,23,48,71
44,"((11, 1), ())","((11, 2), ())",South,"[((11, 2), ()), ((12, 1), ())]","[((11, 1), ()), ((5, 7), ()), ((3, 5), ((1, 1),)), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((1, 7), ()), ((4, 4), ((1, 1),))]","[((3, 5), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((12, 1), ())]",44,12,59,71
45,"((3, 5), ((1, 1),))","((3, 4), ((1, 1),))",North,"[((3, 6), ((1, 1),)), ((3, 4), ((1, 1),))]","[((3, 5), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((12, 1), ())]","[((3, 6), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((6, 6), ())]",45,24,47,71
46,"((3, 6), ((1, 1),))","((3, 5), ((1, 1),))",North,"[((3, 5), ((1, 1),)), ((4, 6), ((1, 1),)), ((2, 6), ((1, 1),))]","[((3, 6), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((6, 6), ())]","[((2, 6), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]",46,25,46,71
