iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
47,"((2, 6), ((1, 1),))","((3, 6), ((1, 1),))",West,"[((3, 6), ((1, 1),)), ((1, 6), ((1, 1),))]","[((2, 6), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]","[((1, 6), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]",47,26,45,71
48,"((1, 6), ((1, 1),))","((2, 6), ((1, 1),))",West,"[((1, 7), ((1, 1),)), ((2, 6), ((1, 1),))]","[((1, 6), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]","[((1, 7), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]",48,27,44,71
49,"((1, 7), ((1, 1),))","((1, 6), ((1, 1),))",North,"[((1, 8), ((1, 1),)), ((1, 6), ((1, 1),))]","[((1, 7), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]","[((1, 8), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]",49,28,43,71
50,"((1, 8), ((1, 1),))","((1, 7), ((1, 1),))",North,"[((1, 7), ((1, 1),)), ((2, 8), ((1, 1),))]","[((1, 8), ((1, 1),)), ((5, 7), ()), ((1, 7), ()), ((12, 4), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]","[((5, 7), ()), ((12, 4), ()), ((1, 7), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((2, 8), ((1, 1),))]",50,29,42,71
51,"((5, 7), ())","((5, 6), ())",North,"[((5, 8), ()), ((5, 6), ())]","[((5, 7), ()), ((12, 4), ()), ((1, 7), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((2, 8), ((1, 1),))]","[((1, 7), ()), ((5, 8), ()), ((12, 2), ()), ((12, 4), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]",51,14,58,72
52,"((1, 7), ())","((1, 6), ())",North,"[((1, 8), ()), ((1, 6), ())]","[((1, 7), ()), ((5, 8), ()), ((12, 2), ()), ((12, 4), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]","[((5, 8), ()), ((1, 8), ()), ((12, 2), ()), ((12, 4), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]",52,18,54,72
53,"((5, 8), ())","((5, 7), ())",North,"[((5, 9), ()), ((5, 7), ())]","[((5, 8), ()), ((1, 8), ()), ((12, 2), ()), ((12, 4), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]","[((1, 8), ()), ((5, 9), ()), ((12, 2), ()), ((12, 4), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]",53,15,57,72
54,"((1, 8), ())","((1, 7), ())",North,"[((1, 7), ()), ((2, 8), ())]","[((1, 8), ()), ((5, 9), ()), ((12, 2), ()), ((12, 4), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((6, 6), ())]","[((5, 9), ()), ((12, 4), ()), ((12, 2), ()), ((6, 6), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((2, 8), ())]",54,19,53,72
55,"((5, 9), ())","((5, 8), ())",North,"[((5, 10), ()), ((5, 8), ())]","[((5, 9), ()), ((12, 4), ()), ((12, 2), ()), ((6, 6), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((4, 6), ((1, 1),)), ((2, 8), ())]","[((5, 10), ()), ((12, 4), ()), ((12, 2), ()), ((6, 6), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),))]",55,16,56,72
56,"((5, 10), ())","((5, 9), ())",North,"[((5, 11), ()), ((5, 9), ()), ((6, 10), ()), ((4, 10), ())]","[((5, 10), ()), ((12, 4), ()), ((12, 2), ()), ((6, 6), ()), ((12, 1), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),))]","[((5, 11), ()), ((4, 10), ()), ((12, 2), ()), ((6, 6), ()), ((12, 4), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((12, 1), ())]",56,17,55,72
57,"((5, 11), ())","((5, 10), ())",North,"[((5, 12), ()), ((5, 10), ()), ((6, 11), ()), ((4, 11), ())]","[((5, 11), ()), ((4, 10), ()), ((12, 2), ()), ((6, 6), ()), ((12, 4), ()), ((2, 8), ((1, 1),)), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((12, 1), ())]","[((4, 10), ()), ((5, 12), ()), ((4, 11), ()), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((12, 1), ()), ((6, 11), ()), ((2, 8), ((1, 1),))]",57,18,54,72
58,"((4, 10), ())","((5, 10), ())",West,"[((4, 11), ()), ((5, 10), ()), ((3, 10), ())]","[((4, 10), ()), ((5, 12), ()), ((4, 11), ()), ((6, 6), ()), ((12, 4), ()), ((12, 2), ()), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((12, 1), ()), ((6, 11), ()), ((2, 8), ((1, 1),))]","[((5, 12), ()), ((12, 4), ()), ((4, 11), ()), ((6, 6), ()), ((12, 1), ()), ((3, 10), ()), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((12, 2), ())]",58,18,54,72
59,"((5, 12), ())","((5, 11), ())",North,"[((5, 11), ()), ((6, 12), ()), ((4, 12), ())]","[((5, 12), ()), ((12, 4), ()), ((4, 11), ()), ((6, 6), ()), ((12, 1), ()), ((3, 10), ()), ((4, 4), ((1, 1),)), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((12, 2), ())]","[((4, 11), ()), ((12, 4), ()), ((3, 10), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((4, 12), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]",59,19,53,72
60,"((4, 11), ())","((5, 11), ())",West,"[((4, 12), ()), ((4, 10), ()), ((5, 11), ()), ((3, 11), ())]","[((4, 11), ()), ((12, 4), ()), ((3, 10), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((4, 12), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]","[((3, 10), ()), ((12, 4), ()), ((4, 12), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((3, 11), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]",60,19,53,72
61,"((3, 10), ())","((4, 10), ())",West,"[((3, 11), ()), ((4, 10), ()), ((2, 10), ())]","[((3, 10), ()), ((12, 4), ()), ((4, 12), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((3, 11), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]","[((4, 12), ()), ((12, 4), ()), ((3, 11), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((2, 10), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]",61,19,53,72
62,"((4, 12), ())","((5, 12), ())",West,"[((4, 11), ()), ((5, 12), ()), ((3, 12), ())]","[((4, 12), ()), ((12, 4), ()), ((3, 11), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((2, 10), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]","[((3, 11), ()), ((12, 4), ()), ((2, 10), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((3, 12), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]",62,20,52,72
63,"((3, 11), ())","((4, 11), ())",West,"[((3, 12), ()), ((3, 10), ()), ((4, 11), ()), ((2, 11), ())]","[((3, 11), ()), ((12, 4), ()), ((2, 10), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((3, 12), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]","[((2, 10), ()), ((12, 4), ()), ((3, 12), ()), ((6, 6), ()), ((12, 1), ()), ((12, 2), ()), ((2, 11), ()), ((2, 8), ()), ((4, 6), ((1, 1),)), ((6, 10), ()), ((2, 8), ((1, 1),)), ((6, 11), ()), ((6, 12), ()), ((4, 4), ((1, 1),))]",63,20,52,72
