iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,A,,,"['B1', 'C', 'B2']",['A'],"['B1', 'C', 'B2']",1,0,0,0
2,B1,A,0:A->B1,['C'],"['B1', 'C', 'B2']","['C', 'B2']",2,1.0,0,1.0
3,C,A,1:A->C,['D'],"['C', 'B2']","['B2', 'D']",3,2.0,0,2.0
4,B2,A,2:A->B2,['C'],"['B2', 'D']",['D'],4,4.0,0,4.0
5,D,C,0:C->D,"['E1', 'F', 'E2']",['D'],"['E1', 'F', 'E2']",5,34.0,0,34.0
6,E1,D,0:D->E1,['F'],"['E1', 'F', 'E2']","['F', 'E2']",6,98.0,0,98.0
7,F,D,1:D->F,['G'],"['F', 'E2']","['E2', 'G']",7,162.0,0,162.0
8,E2,D,2:D->E2,['F'],"['E2', 'G']",['G'],8,290.0,0,290.0
9,G,F,0:F->G,[],['G'],[],9,2210.0,0,2210.0
