iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(35, 1)",,,"[(35, 2), (34, 1)]","[(35, 1)]","[(34, 1), (35, 2)]",1,0,34,34
2,"(34, 1)","(35, 1)",West,"[(35, 1), (33, 1)]","[(34, 1), (35, 2)]","[(33, 1), (35, 2)]",2,1,33,34
3,"(33, 1)","(34, 1)",West,"[(34, 1)]","[(33, 1), (35, 2)]","[(35, 2)]",3,2,32,34
4,"(35, 2)","(35, 1)",North,"[(35, 3), (35, 1)]","[(35, 2)]","[(35, 3)]",4,1,35,36
5,"(35, 3)","(35, 2)",North,"[(35, 4), (35, 2), (34, 3)]","[(35, 3)]","[(34, 3), (35, 4)]",5,2,36,38
6,"(34, 3)","(35, 3)",West,"[(35, 3), (33, 3)]","[(34, 3), (35, 4)]","[(33, 3), (35, 4)]",6,3,35,38
7,"(33, 3)","(34, 3)",West,"[(33, 4), (34, 3), (32, 3)]","[(33, 3), (35, 4)]","[(32, 3), (33, 4), (35, 4)]",7,4,34,38
8,"(32, 3)","(33, 3)",West,"[(33, 3), (31, 3)]","[(32, 3), (33, 4), (35, 4)]","[(31, 3), (33, 4), (35, 4)]",8,5,33,38
9,"(31, 3)","(32, 3)",West,"[(31, 4), (31, 2), (32, 3)]","[(31, 3), (33, 4), (35, 4)]","[(31, 2), (35, 4), (31, 4), (33, 4)]",9,6,32,38
10,"(31, 2)","(31, 3)",South,"[(31, 3), (31, 1)]","[(31, 2), (35, 4), (31, 4), (33, 4)]","[(31, 1), (35, 4), (31, 4), (33, 4)]",10,7,31,38
11,"(31, 1)","(31, 2)",South,"[(31, 2)]","[(31, 1), (35, 4), (31, 4), (33, 4)]","[(35, 4), (33, 4), (31, 4)]",11,8,30,38
12,"(35, 4)","(35, 3)",North,"[(35, 5), (35, 3)]","[(35, 4), (33, 4), (31, 4)]","[(33, 4), (31, 4), (35, 5)]",12,3,37,40
13,"(33, 4)","(33, 3)",North,"[(33, 5), (33, 3)]","[(33, 4), (31, 4), (35, 5)]","[(31, 4), (35, 5), (33, 5)]",13,5,35,40
14,"(31, 4)","(31, 3)",North,"[(31, 5), (31, 3)]","[(31, 4), (35, 5), (33, 5)]","[(35, 5), (33, 5), (31, 5)]",14,7,33,40
15,"(35, 5)","(35, 4)",North,"[(35, 4)]","[(35, 5), (33, 5), (31, 5)]","[(33, 5), (31, 5)]",15,4,38,42
16,"(33, 5)","(33, 4)",North,"[(33, 6), (33, 4)]","[(33, 5), (31, 5)]","[(31, 5), (33, 6)]",16,6,36,42
17,"(31, 5)","(31, 4)",North,"[(31, 6), (31, 4), (30, 5)]","[(31, 5), (33, 6)]","[(30, 5), (31, 6), (33, 6)]",17,8,34,42
18,"(30, 5)","(31, 5)",West,"[(31, 5), (29, 5)]","[(30, 5), (31, 6), (33, 6)]","[(29, 5), (31, 6), (33, 6)]",18,9,33,42
19,"(29, 5)","(30, 5)",West,"[(29, 4), (30, 5)]","[(29, 5), (31, 6), (33, 6)]","[(29, 4), (31, 6), (33, 6)]",19,10,32,42
20,"(29, 4)","(29, 5)",South,"[(29, 5), (29, 3)]","[(29, 4), (31, 6), (33, 6)]","[(29, 3), (31, 6), (33, 6)]",20,11,31,42
21,"(29, 3)","(29, 4)",South,"[(29, 4), (28, 3)]","[(29, 3), (31, 6), (33, 6)]","[(28, 3), (31, 6), (33, 6)]",21,12,30,42
22,"(28, 3)","(29, 3)",West,"[(29, 3), (27, 3)]","[(28, 3), (31, 6), (33, 6)]","[(27, 3), (31, 6), (33, 6)]",22,13,29,42
23,"(27, 3)","(28, 3)",West,"[(27, 4), (27, 2), (28, 3), (26, 3)]","[(27, 3), (31, 6), (33, 6)]","[(27, 2), (26, 3), (27, 4), (31, 6), (33, 6)]",23,14,28,42
24,"(27, 2)","(27, 3)",South,"[(27, 3), (27, 1)]","[(27, 2), (26, 3), (27, 4), (31, 6), (33, 6)]","[(26, 3), (27, 1), (27, 4), (31, 6), (33, 6)]",24,15,27,42
25,"(26, 3)","(27, 3)",West,"[(27, 3), (25, 3)]","[(26, 3), (27, 1), (27, 4), (31, 6), (33, 6)]","[(27, 1), (25, 3), (27, 4), (31, 6), (33, 6)]",25,15,27,42
26,"(27, 1)","(27, 2)",South,"[(27, 2), (28, 1)]","[(27, 1), (25, 3), (27, 4), (31, 6), (33, 6)]","[(25, 3), (33, 6), (27, 4), (31, 6), (28, 1)]",26,16,26,42
27,"(25, 3)","(26, 3)",West,"[(25, 4), (26, 3), (24, 3)]","[(25, 3), (33, 6), (27, 4), (31, 6), (28, 1)]","[(24, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]",27,16,26,42
28,"(24, 3)","(25, 3)",West,"[(25, 3), (23, 3)]","[(24, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]","[(23, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]",28,17,25,42
29,"(23, 3)","(24, 3)",West,"[(23, 2), (24, 3), (22, 3)]","[(23, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4)]","[(23, 2), (31, 6), (22, 3), (28, 1), (25, 4), (27, 4), (33, 6)]",29,18,24,42
30,"(23, 2)","(23, 3)",South,"[(23, 3), (23, 1)]","[(23, 2), (31, 6), (22, 3), (28, 1), (25, 4), (27, 4), (33, 6)]","[(22, 3), (31, 6), (23, 1), (28, 1), (25, 4), (27, 4), (33, 6)]",30,19,23,42
31,"(22, 3)","(23, 3)",West,"[(23, 3), (21, 3)]","[(22, 3), (31, 6), (23, 1), (28, 1), (25, 4), (27, 4), (33, 6)]","[(23, 1), (31, 6), (21, 3), (28, 1), (25, 4), (27, 4), (33, 6)]",31,19,23,42
32,"(23, 1)","(23, 2)",South,"[(23, 2), (24, 1), (22, 1)]","[(23, 1), (31, 6), (21, 3), (28, 1), (25, 4), (27, 4), (33, 6)]","[(21, 3), (22, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",32,20,22,42
33,"(21, 3)","(22, 3)",West,"[(22, 3), (20, 3)]","[(21, 3), (22, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(22, 1), (20, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",33,20,22,42
34,"(22, 1)","(23, 1)",West,"[(23, 1), (21, 1)]","[(22, 1), (20, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(20, 3), (21, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",34,21,21,42
35,"(20, 3)","(21, 3)",West,"[(21, 3), (19, 3)]","[(20, 3), (21, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(21, 1), (19, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",35,21,21,42
36,"(21, 1)","(22, 1)",West,"[(22, 1), (20, 1)]","[(21, 1), (19, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(19, 3), (20, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",36,22,20,42
37,"(19, 3)","(20, 3)",West,"[(20, 3), (18, 3)]","[(19, 3), (20, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(20, 1), (18, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",37,22,20,42
38,"(20, 1)","(21, 1)",West,"[(21, 1), (19, 1)]","[(20, 1), (18, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(18, 3), (19, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",38,23,19,42
39,"(18, 3)","(19, 3)",West,"[(19, 3), (17, 3)]","[(18, 3), (19, 1), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(19, 1), (17, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]",39,23,19,42
40,"(19, 1)","(20, 1)",West,"[(20, 1)]","[(19, 1), (17, 3), (33, 6), (31, 6), (25, 4), (27, 4), (24, 1), (28, 1)]","[(17, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4), (24, 1)]",40,24,18,42
