iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
41,"(17, 3)","(18, 3)",West,"[(18, 3), (16, 3)]","[(17, 3), (31, 6), (33, 6), (28, 1), (25, 4), (27, 4), (24, 1)]","[(16, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]",41,24,18,42
42,"(16, 3)","(17, 3)",West,"[(17, 3), (15, 3)]","[(16, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(15, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]",42,25,17,42
43,"(15, 3)","(16, 3)",West,"[(15, 4), (15, 2), (16, 3), (14, 3)]","[(15, 3), (31, 6), (33, 6), (28, 1), (25, 4), (24, 1), (27, 4)]","[(15, 2), (14, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]",43,26,16,42
44,"(15, 2)","(15, 3)",South,"[(15, 3), (15, 1)]","[(15, 2), (14, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(14, 3), (15, 1), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]",44,27,15,42
45,"(14, 3)","(15, 3)",West,"[(15, 3), (13, 3)]","[(14, 3), (15, 1), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(15, 1), (13, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]",45,27,15,42
46,"(15, 1)","(15, 2)",South,"[(15, 2), (16, 1)]","[(15, 1), (13, 3), (27, 4), (33, 6), (25, 4), (24, 1), (15, 4), (28, 1), (31, 6)]","[(13, 3), (33, 6), (27, 4), (31, 6), (25, 4), (24, 1), (15, 4), (28, 1), (16, 1)]",46,28,14,42
47,"(13, 3)","(14, 3)",West,"[(13, 4), (14, 3)]","[(13, 3), (33, 6), (27, 4), (31, 6), (25, 4), (24, 1), (15, 4), (28, 1), (16, 1)]","[(33, 6), (31, 6), (27, 4), (28, 1), (25, 4), (24, 1), (15, 4), (16, 1), (13, 4)]",47,28,14,42
48,"(33, 6)","(33, 5)",North,"[(33, 7), (33, 5)]","[(33, 6), (31, 6), (27, 4), (28, 1), (25, 4), (24, 1), (15, 4), (16, 1), (13, 4)]","[(31, 6), (28, 1), (27, 4), (16, 1), (25, 4), (24, 1), (15, 4), (13, 4), (33, 7)]",48,7,37,44
49,"(31, 6)","(31, 5)",North,"[(31, 7), (31, 5)]","[(31, 6), (28, 1), (27, 4), (16, 1), (25, 4), (24, 1), (15, 4), (13, 4), (33, 7)]","[(27, 4), (28, 1), (24, 1), (16, 1), (25, 4), (33, 7), (15, 4), (13, 4), (31, 7)]",49,9,35,44
50,"(27, 4)","(27, 3)",North,"[(27, 5), (27, 3)]","[(27, 4), (28, 1), (24, 1), (16, 1), (25, 4), (33, 7), (15, 4), (13, 4), (31, 7)]","[(28, 1), (25, 4), (24, 1), (16, 1), (31, 7), (33, 7), (15, 4), (13, 4), (27, 5)]",50,15,29,44
51,"(28, 1)","(27, 1)",East,"[(29, 1), (27, 1)]","[(28, 1), (25, 4), (24, 1), (16, 1), (31, 7), (33, 7), (15, 4), (13, 4), (27, 5)]","[(25, 4), (16, 1), (24, 1), (13, 4), (31, 7), (33, 7), (15, 4), (27, 5), (29, 1)]",51,17,27,44
52,"(25, 4)","(25, 3)",North,"[(25, 5), (25, 3)]","[(25, 4), (16, 1), (24, 1), (13, 4), (31, 7), (33, 7), (15, 4), (27, 5), (29, 1)]","[(24, 1), (16, 1), (15, 4), (13, 4), (31, 7), (33, 7), (29, 1), (27, 5), (25, 5)]",52,17,27,44
53,"(24, 1)","(23, 1)",East,"[(25, 1), (23, 1)]","[(24, 1), (16, 1), (15, 4), (13, 4), (31, 7), (33, 7), (29, 1), (27, 5), (25, 5)]","[(15, 4), (16, 1), (33, 7), (13, 4), (31, 7), (25, 5), (29, 1), (27, 5), (25, 1)]",53,21,23,44
54,"(15, 4)","(15, 3)",North,"[(15, 5), (15, 3)]","[(15, 4), (16, 1), (33, 7), (13, 4), (31, 7), (25, 5), (29, 1), (27, 5), (25, 1)]","[(16, 1), (13, 4), (33, 7), (27, 5), (31, 7), (25, 5), (29, 1), (25, 1), (15, 5)]",54,27,17,44
55,"(16, 1)","(15, 1)",East,"[(17, 1), (15, 1)]","[(16, 1), (13, 4), (33, 7), (27, 5), (31, 7), (25, 5), (29, 1), (25, 1), (15, 5)]","[(13, 4), (31, 7), (33, 7), (27, 5), (15, 5), (25, 5), (29, 1), (25, 1), (17, 1)]",55,29,15,44
56,"(13, 4)","(13, 3)",North,"[(13, 5), (13, 3)]","[(13, 4), (31, 7), (33, 7), (27, 5), (15, 5), (25, 5), (29, 1), (25, 1), (17, 1)]","[(33, 7), (31, 7), (29, 1), (27, 5), (15, 5), (25, 5), (17, 1), (25, 1), (13, 5)]",56,29,15,44
57,"(33, 7)","(33, 6)",North,"[(33, 6), (34, 7)]","[(33, 7), (31, 7), (29, 1), (27, 5), (15, 5), (25, 5), (17, 1), (25, 1), (13, 5)]","[(31, 7), (27, 5), (29, 1), (25, 1), (15, 5), (25, 5), (17, 1), (13, 5), (34, 7)]",57,8,38,46
58,"(31, 7)","(31, 6)",North,"[(31, 8), (31, 6)]","[(31, 7), (27, 5), (29, 1), (25, 1), (15, 5), (25, 5), (17, 1), (13, 5), (34, 7)]","[(27, 5), (25, 1), (29, 1), (13, 5), (15, 5), (25, 5), (17, 1), (34, 7), (31, 8)]",58,10,36,46
59,"(27, 5)","(27, 4)",North,"[(27, 6), (27, 4)]","[(27, 5), (25, 1), (29, 1), (13, 5), (15, 5), (25, 5), (17, 1), (34, 7), (31, 8)]","[(29, 1), (25, 1), (25, 5), (13, 5), (15, 5), (31, 8), (17, 1), (34, 7), (27, 6)]",59,16,30,46
60,"(29, 1)","(28, 1)",East,"[(28, 1)]","[(29, 1), (25, 1), (25, 5), (13, 5), (15, 5), (31, 8), (17, 1), (34, 7), (27, 6)]","[(25, 5), (25, 1), (17, 1), (13, 5), (15, 5), (31, 8), (27, 6), (34, 7)]",60,18,28,46
61,"(25, 5)","(25, 4)",North,"[(25, 6), (25, 4), (24, 5)]","[(25, 5), (25, 1), (17, 1), (13, 5), (15, 5), (31, 8), (27, 6), (34, 7)]","[(25, 1), (15, 5), (17, 1), (13, 5), (34, 7), (31, 8), (27, 6), (25, 6), (24, 5)]",61,18,28,46
62,"(25, 1)","(24, 1)",East,"[(24, 1)]","[(25, 1), (15, 5), (17, 1), (13, 5), (34, 7), (31, 8), (27, 6), (25, 6), (24, 5)]","[(15, 5), (13, 5), (17, 1), (24, 5), (34, 7), (31, 8), (27, 6), (25, 6)]",62,22,24,46
63,"(15, 5)","(15, 4)",North,"[(15, 4), (16, 5)]","[(15, 5), (13, 5), (17, 1), (24, 5), (34, 7), (31, 8), (27, 6), (25, 6)]","[(17, 1), (13, 5), (31, 8), (24, 5), (34, 7), (25, 6), (27, 6), (16, 5)]",63,28,18,46
64,"(17, 1)","(16, 1)",East,"[(16, 1)]","[(17, 1), (13, 5), (31, 8), (24, 5), (34, 7), (25, 6), (27, 6), (16, 5)]","[(13, 5), (24, 5), (31, 8), (16, 5), (34, 7), (25, 6), (27, 6)]",64,30,16,46
65,"(13, 5)","(13, 4)",North,"[(13, 4)]","[(13, 5), (24, 5), (31, 8), (16, 5), (34, 7), (25, 6), (27, 6)]","[(24, 5), (34, 7), (31, 8), (16, 5), (27, 6), (25, 6)]",65,30,16,46
66,"(24, 5)","(25, 5)",West,"[(25, 5), (23, 5)]","[(24, 5), (34, 7), (31, 8), (16, 5), (27, 6), (25, 6)]","[(23, 5), (27, 6), (34, 7), (16, 5), (25, 6), (31, 8)]",66,19,27,46
67,"(23, 5)","(24, 5)",West,"[(24, 5)]","[(23, 5), (27, 6), (34, 7), (16, 5), (25, 6), (31, 8)]","[(34, 7), (27, 6), (31, 8), (16, 5), (25, 6)]",67,20,26,46
68,"(34, 7)","(33, 7)",East,"[(35, 7), (33, 7)]","[(34, 7), (27, 6), (31, 8), (16, 5), (25, 6)]","[(31, 8), (27, 6), (25, 6), (16, 5), (35, 7)]",68,9,39,48
69,"(31, 8)","(31, 7)",North,"[(31, 9), (31, 7)]","[(31, 8), (27, 6), (25, 6), (16, 5), (35, 7)]","[(27, 6), (16, 5), (25, 6), (35, 7), (31, 9)]",69,11,37,48
70,"(27, 6)","(27, 5)",North,"[(27, 7), (27, 5)]","[(27, 6), (16, 5), (25, 6), (35, 7), (31, 9)]","[(25, 6), (16, 5), (31, 9), (35, 7), (27, 7)]",70,17,31,48
71,"(25, 6)","(25, 5)",North,"[(25, 7), (25, 5)]","[(25, 6), (16, 5), (31, 9), (35, 7), (27, 7)]","[(16, 5), (35, 7), (31, 9), (27, 7), (25, 7)]",71,19,29,48
72,"(16, 5)","(15, 5)",East,"[(17, 5), (15, 5)]","[(16, 5), (35, 7), (31, 9), (27, 7), (25, 7)]","[(35, 7), (27, 7), (31, 9), (25, 7), (17, 5)]",72,29,19,48
73,"(35, 7)","(34, 7)",East,"[(34, 7)]","[(35, 7), (27, 7), (31, 9), (25, 7), (17, 5)]","[(31, 9), (27, 7), (17, 5), (25, 7)]",73,10,40,50
74,"(31, 9)","(31, 8)",North,"[(31, 10), (31, 8), (32, 9)]","[(31, 9), (27, 7), (17, 5), (25, 7)]","[(27, 7), (25, 7), (17, 5), (31, 10), (32, 9)]",74,12,38,50
75,"(27, 7)","(27, 6)",North,"[(27, 6), (28, 7)]","[(27, 7), (25, 7), (17, 5), (31, 10), (32, 9)]","[(25, 7), (31, 10), (17, 5), (32, 9), (28, 7)]",75,18,32,50
76,"(25, 7)","(25, 6)",North,"[(25, 6), (24, 7)]","[(25, 7), (31, 10), (17, 5), (32, 9), (28, 7)]","[(17, 5), (24, 7), (28, 7), (32, 9), (31, 10)]",76,20,30,50
77,"(17, 5)","(16, 5)",East,"[(17, 6), (18, 5), (16, 5)]","[(17, 5), (24, 7), (28, 7), (32, 9), (31, 10)]","[(24, 7), (31, 10), (28, 7), (32, 9), (17, 6), (18, 5)]",77,30,20,50
78,"(24, 7)","(25, 7)",West,"[(25, 7), (23, 7)]","[(24, 7), (31, 10), (28, 7), (32, 9), (17, 6), (18, 5)]","[(23, 7), (32, 9), (31, 10), (18, 5), (17, 6), (28, 7)]",78,21,29,50
79,"(23, 7)","(24, 7)",West,"[(23, 8), (24, 7), (22, 7)]","[(23, 7), (32, 9), (31, 10), (18, 5), (17, 6), (28, 7)]","[(22, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]",79,22,28,50
80,"(22, 7)","(23, 7)",West,"[(23, 7), (21, 7)]","[(22, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]","[(21, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]",80,23,27,50
81,"(21, 7)","(22, 7)",West,"[(21, 8), (21, 6), (22, 7)]","[(21, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]","[(21, 6), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]",81,24,26,50
82,"(21, 6)","(21, 7)",South,"[(21, 7), (21, 5)]","[(21, 6), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]","[(21, 5), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]",82,25,25,50
83,"(21, 5)","(21, 6)",South,"[(21, 6)]","[(21, 5), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]","[(31, 10), (32, 9), (28, 7), (18, 5), (17, 6), (23, 8), (21, 8)]",83,26,24,50
84,"(31, 10)","(31, 9)",North,"[(31, 11), (31, 9)]","[(31, 10), (32, 9), (28, 7), (18, 5), (17, 6), (23, 8), (21, 8)]","[(32, 9), (17, 6), (28, 7), (18, 5), (21, 8), (23, 8), (31, 11)]",84,13,39,52
85,"(32, 9)","(31, 9)",East,"[(33, 9), (31, 9)]","[(32, 9), (17, 6), (28, 7), (18, 5), (21, 8), (23, 8), (31, 11)]","[(28, 7), (17, 6), (23, 8), (18, 5), (21, 8), (31, 11), (33, 9)]",85,13,39,52
86,"(28, 7)","(27, 7)",East,"[(29, 7), (27, 7)]","[(28, 7), (17, 6), (23, 8), (18, 5), (21, 8), (31, 11), (33, 9)]","[(17, 6), (18, 5), (23, 8), (33, 9), (21, 8), (31, 11), (29, 7)]",86,19,33,52
87,"(17, 6)","(17, 5)",North,"[(17, 7), (17, 5)]","[(17, 6), (18, 5), (23, 8), (33, 9), (21, 8), (31, 11), (29, 7)]","[(18, 5), (21, 8), (23, 8), (33, 9), (29, 7), (31, 11), (17, 7)]",87,31,21,52
88,"(18, 5)","(17, 5)",East,"[(19, 5), (17, 5)]","[(18, 5), (21, 8), (23, 8), (33, 9), (29, 7), (31, 11), (17, 7)]","[(23, 8), (21, 8), (31, 11), (33, 9), (29, 7), (17, 7), (19, 5)]",88,31,21,52
89,"(23, 8)","(23, 7)",North,"[(23, 9), (23, 7)]","[(23, 8), (21, 8), (31, 11), (33, 9), (29, 7), (17, 7), (19, 5)]","[(21, 8), (33, 9), (31, 11), (19, 5), (29, 7), (17, 7), (23, 9)]",89,23,29,52
90,"(21, 8)","(21, 7)",North,"[(21, 9), (21, 7)]","[(21, 8), (33, 9), (31, 11), (19, 5), (29, 7), (17, 7), (23, 9)]","[(31, 11), (33, 9), (17, 7), (19, 5), (29, 7), (23, 9), (21, 9)]",90,25,27,52
91,"(31, 11)","(31, 10)",North,"[(31, 10), (30, 11)]","[(31, 11), (33, 9), (17, 7), (19, 5), (29, 7), (23, 9), (21, 9)]","[(33, 9), (29, 7), (17, 7), (19, 5), (21, 9), (23, 9), (30, 11)]",91,14,40,54
92,"(33, 9)","(32, 9)",East,"[(33, 10), (34, 9), (32, 9)]","[(33, 9), (29, 7), (17, 7), (19, 5), (21, 9), (23, 9), (30, 11)]","[(29, 7), (19, 5), (17, 7), (30, 11), (21, 9), (23, 9), (33, 10), (34, 9)]",92,14,40,54
93,"(29, 7)","(28, 7)",East,"[(29, 8), (28, 7)]","[(29, 7), (19, 5), (17, 7), (30, 11), (21, 9), (23, 9), (33, 10), (34, 9)]","[(17, 7), (19, 5), (23, 9), (30, 11), (21, 9), (34, 9), (33, 10), (29, 8)]",93,20,34,54
94,"(17, 7)","(17, 6)",North,"[(17, 6), (16, 7)]","[(17, 7), (19, 5), (23, 9), (30, 11), (21, 9), (34, 9), (33, 10), (29, 8)]","[(19, 5), (21, 9), (23, 9), (30, 11), (29, 8), (34, 9), (33, 10), (16, 7)]",94,32,22,54
95,"(19, 5)","(18, 5)",East,"[(18, 5)]","[(19, 5), (21, 9), (23, 9), (30, 11), (29, 8), (34, 9), (33, 10), (16, 7)]","[(23, 9), (21, 9), (16, 7), (30, 11), (29, 8), (34, 9), (33, 10)]",95,32,22,54
96,"(23, 9)","(23, 8)",North,"[(23, 8), (24, 9)]","[(23, 9), (21, 9), (16, 7), (30, 11), (29, 8), (34, 9), (33, 10)]","[(21, 9), (30, 11), (16, 7), (33, 10), (29, 8), (34, 9), (24, 9)]",96,24,30,54
97,"(21, 9)","(21, 8)",North,"[(21, 8)]","[(21, 9), (30, 11), (16, 7), (33, 10), (29, 8), (34, 9), (24, 9)]","[(30, 11), (33, 10), (16, 7), (24, 9), (29, 8), (34, 9)]",97,26,28,54
98,"(30, 11)","(31, 11)",West,"[(31, 11), (29, 11)]","[(30, 11), (33, 10), (16, 7), (24, 9), (29, 8), (34, 9)]","[(16, 7), (33, 10), (29, 11), (24, 9), (29, 8), (34, 9)]",98,15,39,54
99,"(16, 7)","(17, 7)",West,"[(17, 7), (15, 7)]","[(16, 7), (33, 10), (29, 11), (24, 9), (29, 8), (34, 9)]","[(29, 11), (33, 10), (15, 7), (24, 9), (29, 8), (34, 9)]",99,33,21,54
100,"(29, 11)","(30, 11)",West,"[(30, 11)]","[(29, 11), (33, 10), (15, 7), (24, 9), (29, 8), (34, 9)]","[(15, 7), (33, 10), (34, 9), (24, 9), (29, 8)]",100,16,38,54
101,"(15, 7)","(16, 7)",West,"[(15, 8), (16, 7), (14, 7)]","[(15, 7), (33, 10), (34, 9), (24, 9), (29, 8)]","[(14, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]",101,34,20,54
102,"(14, 7)","(15, 7)",West,"[(15, 7), (13, 7)]","[(14, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]","[(13, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]",102,35,19,54
103,"(13, 7)","(14, 7)",West,"[(14, 7)]","[(13, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]","[(33, 10), (29, 8), (34, 9), (24, 9), (15, 8)]",103,36,18,54
104,"(33, 10)","(33, 9)",North,"[(33, 11), (33, 9)]","[(33, 10), (29, 8), (34, 9), (24, 9), (15, 8)]","[(34, 9), (29, 8), (15, 8), (24, 9), (33, 11)]",104,15,41,56
105,"(34, 9)","(33, 9)",East,"[(35, 9), (33, 9)]","[(34, 9), (29, 8), (15, 8), (24, 9), (33, 11)]","[(29, 8), (24, 9), (15, 8), (33, 11), (35, 9)]",105,15,41,56
106,"(29, 8)","(29, 7)",North,"[(29, 9), (29, 7)]","[(29, 8), (24, 9), (15, 8), (33, 11), (35, 9)]","[(24, 9), (33, 11), (15, 8), (35, 9), (29, 9)]",106,21,35,56
107,"(24, 9)","(23, 9)",East,"[(25, 9), (23, 9)]","[(24, 9), (33, 11), (15, 8), (35, 9), (29, 9)]","[(15, 8), (33, 11), (29, 9), (35, 9), (25, 9)]",107,25,31,56
108,"(15, 8)","(15, 7)",North,"[(15, 9), (15, 7)]","[(15, 8), (33, 11), (29, 9), (35, 9), (25, 9)]","[(33, 11), (35, 9), (29, 9), (25, 9), (15, 9)]",108,35,21,56
109,"(33, 11)","(33, 10)",North,"[(33, 10)]","[(33, 11), (35, 9), (29, 9), (25, 9), (15, 9)]","[(35, 9), (25, 9), (29, 9), (15, 9)]",109,16,42,58
110,"(35, 9)","(34, 9)",East,"[(35, 10), (34, 9)]","[(35, 9), (25, 9), (29, 9), (15, 9)]","[(29, 9), (25, 9), (15, 9), (35, 10)]",110,16,42,58
111,"(29, 9)","(29, 8)",North,"[(29, 8)]","[(29, 9), (25, 9), (15, 9), (35, 10)]","[(25, 9), (35, 10), (15, 9)]",111,22,36,58
112,"(25, 9)","(24, 9)",East,"[(24, 9)]","[(25, 9), (35, 10), (15, 9)]","[(15, 9), (35, 10)]",112,26,32,58
113,"(15, 9)","(15, 8)",North,"[(15, 10), (15, 8)]","[(15, 9), (35, 10)]","[(35, 10), (15, 10)]",113,36,22,58
114,"(35, 10)","(35, 9)",North,"[(35, 11), (35, 9)]","[(35, 10), (15, 10)]","[(15, 10), (35, 11)]",114,17,43,60
115,"(15, 10)","(15, 9)",North,"[(15, 11), (15, 9)]","[(15, 10), (35, 11)]","[(35, 11), (15, 11)]",115,37,23,60
116,"(35, 11)","(35, 10)",North,"[(35, 10)]","[(35, 11), (15, 11)]","[(15, 11)]",116,18,44,62
117,"(15, 11)","(15, 10)",North,"[(15, 12), (15, 10)]","[(15, 11)]","[(15, 12)]",117,38,24,62
