iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
40,"(5, 16)","(6, 16)",West,"[(6, 16), (4, 16)]","[(5, 16), (26, 14), (31, 12)]","[(4, 16), (26, 14), (31, 12)]",40,29,19,48
41,"(4, 16)","(5, 16)",West,"[(5, 16), (3, 16)]","[(4, 16), (26, 14), (31, 12)]","[(3, 16), (26, 14), (31, 12)]",41,30,18,48
42,"(3, 16)","(4, 16)",West,"[(4, 16), (2, 16)]","[(3, 16), (26, 14), (31, 12)]","[(2, 16), (26, 14), (31, 12)]",42,31,17,48
43,"(2, 16)","(3, 16)",West,"[(3, 16), (1, 16)]","[(2, 16), (26, 14), (31, 12)]","[(1, 16), (26, 14), (31, 12)]",43,32,16,48
44,"(1, 16)","(2, 16)",West,"[(1, 15), (2, 16)]","[(1, 16), (26, 14), (31, 12)]","[(1, 15), (26, 14), (31, 12)]",44,33,15,48
45,"(1, 15)","(1, 16)",South,"[(1, 16), (1, 14)]","[(1, 15), (26, 14), (31, 12)]","[(1, 14), (26, 14), (31, 12)]",45,34,14,48
46,"(1, 14)","(1, 15)",South,"[(1, 15), (1, 13)]","[(1, 14), (26, 14), (31, 12)]","[(1, 13), (26, 14), (31, 12)]",46,35,13,48
47,"(1, 13)","(1, 14)",South,"[(1, 14), (1, 12)]","[(1, 13), (26, 14), (31, 12)]","[(1, 12), (26, 14), (31, 12)]",47,36,12,48
48,"(1, 12)","(1, 13)",South,"[(1, 13), (1, 11)]","[(1, 12), (26, 14), (31, 12)]","[(1, 11), (26, 14), (31, 12)]",48,37,11,48
49,"(1, 11)","(1, 12)",South,"[(1, 12), (1, 10)]","[(1, 11), (26, 14), (31, 12)]","[(1, 10), (26, 14), (31, 12)]",49,38,10,48
50,"(1, 10)","(1, 11)",South,"[(1, 11), (1, 9)]","[(1, 10), (26, 14), (31, 12)]","[(1, 9), (26, 14), (31, 12)]",50,39,9,48
51,"(1, 9)","(1, 10)",South,"[(1, 10), (1, 8)]","[(1, 9), (26, 14), (31, 12)]","[(1, 8), (26, 14), (31, 12)]",51,40,8,48
52,"(1, 8)","(1, 9)",South,"[(1, 9), (1, 7)]","[(1, 8), (26, 14), (31, 12)]","[(1, 7), (26, 14), (31, 12)]",52,41,7,48
53,"(1, 7)","(1, 8)",South,"[(1, 8), (2, 7)]","[(1, 7), (26, 14), (31, 12)]","[(31, 12), (26, 14), (2, 7)]",53,42,6,48
